site,period,fieldworker,enumerated,errors,total_speed,sat,errorsx,signx
Malawi, Pre-retraining,12,1201,125,27040,0.4,0.664893617,pos
Malawi, Pre-retraining,13,1305,93,28250,-0.1,0.528409091,neg
Malawi, Pre-retraining,14,1244,163,29460,-0.3,0.64940239,neg
Malawi, Pre-retraining,15,1020,92,20670,1.4,0.671532847,pos
Malawi, Pre-retraining,16,1300,94,31880,0,0.676258993,pos
Malawi, Pre-retraining,17,1150,98,23090,0.5,0.52972973,pos
Malawi, Pre-retraining,18,907,215,34300,-1.3,0.653495441,neg
Malawi, Pre-retraining,19,1237,125,35510,-1.2,0.573394495,neg
Malawi, Pre-retraining,20,885,113,26720,-0.3,0.509009009,neg
Malawi,Post-retraining,1,3373,25,40134,1.3,0.5,pos
Malawi,Post-retraining,2,3330,101,40104,0.2,0.419087137,pos
Malawi,Post-retraining,3,4679,67,40991,0.3,0.286324786,pos
Malawi,Post-retraining,4,3490,12,41100,1.1,0.088888889,pos
Malawi,Post-retraining,5,3347,82,40408,0.4,0.50931677,pos
Malawi,Post-retraining,6,4883,89,40032,0.4,0.288961039,pos
Malawi,Post-retraining,7,5098,69,41800,-0.1,0.543307087,neg
Malawi,Post-retraining,8,3446,32,42071,0.3,0.304761905,pos
Malawi,Post-retraining,9,3397,59,42000,0,0.236947791,pos
Malawi,Post-retraining,10,3028,47,44122,-0.8,0.164912281,neg
Malawi,Post-retraining,11,3039,73,40730,0.3,0.287401575,pos
Malawi,Post-retraining,12,3714,63,43021,0.5,0.335106383,pos
Malawi,Post-retraining,13,3573,83,41221,0,0.471590909,pos
Malawi,Post-retraining,14,3609,88,44810,-0.7,0.35059761,neg
Malawi,Post-retraining,15,3937,45,40670,0.8,0.328467153,pos
Malawi,Post-retraining,16,3391,45,41347,0.5,0.323741007,pos
Malawi,Post-retraining,17,4020,87,43120,0.9,0.47027027,pos
Malawi,Post-retraining,18,3462,114,42901,-1,0.346504559,neg
Malawi,Post-retraining,19,3376,93,41522,-0.3,0.426605505,neg
Malawi,Post-retraining,20,3127,109,40179,0.1,0.490990991,pos
Nepal, Pre-retraining,1,744,349,49072,-0.9,0.806004619,neg
Nepal, Pre-retraining,2,598,108,52000,-0.3,0.352941176,neg
Nepal, Pre-retraining,3,3235,124,42017,1,0.548672566,pos
Nepal, Pre-retraining,4,1508,209,44091,0.3,0.523809524,pos
Nepal, Pre-retraining,5,512,145,50267,-0.2,0.506993007,neg
Nepal, Pre-retraining,6,1760,298,38693,0.7,0.623430962,pos
Nepal, Pre-retraining,7,769,498,41486,-0.5,0.825870647,neg
Nepal, Pre-retraining,8,2113,208,42754,0.5,0.594285714,pos
Nepal, Pre-retraining,9,838,201,43297,0.5,0.598214286,pos
Nepal, Pre-retraining,10,727,191,34882,1.6,0.51344086,pos
Nepal, Pre-retraining,11,868,121,48805,0.1,0.417241379,pos
Nepal, Pre-retraining,12,605,217,36350,1.3,0.709150327,pos
Nepal, Pre-retraining,13,848,186,47612,0,0.494680851,pos
Nepal, Pre-retraining,14,824,259,44289,0.1,0.660714286,pos
Nepal, Pre-retraining,15,687,279,45977,-0.2,0.680487805,neg
Nepal, Pre-retraining,16,780,397,43023,-0.3,0.830543933,neg
Nepal, Pre-retraining,17,944,230,40977,0.7,0.61827957,pos
Nepal, Pre-retraining,18,1080,421,51034,-1.5,0.823874755,neg
Nepal, Pre-retraining,19,598,276,48991,-0.6,0.804664723,neg
Nepal, Pre-retraining,20,969,217,50934,-0.6,0.777777778,neg
Nepal, Pre-retraining,21,593,268,48901,-0.5,0.705263158,neg
Nepal, Pre-retraining,22,1225,262,45021,0,0.723756906,pos
Nepal, Pre-retraining,23,820,373,50327,-1.2,0.686924494,neg
Nepal, Pre-retraining,24,213,173,45091,0.4,0.537267081,pos
Nepal, Pre-retraining,25,1133,255,47077,-0.3,0.691056911,neg
Nepal,Post-retraining,1,6524,84,50930,0.3,0.193995381,pos
Nepal,Post-retraining,2,2271,198,51602,-0.9,0.647058824,neg
Nepal,Post-retraining,3,3663,102,51946,0,0.451327434,pos
Nepal,Post-retraining,4,2986,190,50267,0.6,0.476190476,pos
Nepal,Post-retraining,5,2293,141,53693,-0.7,0.493006993,neg
Nepal,Post-retraining,6,2553,180,51486,0.7,0.376569038,pos
Nepal,Post-retraining,7,4927,105,56754,-0.9,0.174129353,neg
Nepal,Post-retraining,8,4685,142,48297,0.2,0.405714286,pos
Nepal,Post-retraining,9,1600,135,52882,0.5,0.401785714,pos
Nepal,Post-retraining,10,3767,181,48805,0.3,0.48655914,pos
Nepal,Post-retraining,11,2060,169,46350,0.3,0.582758621,pos
Nepal,Post-retraining,12,4493,89,47612,0.9,0.290849673,pos
Nepal,Post-retraining,13,1967,190,48289,-0.3,0.505319149,neg
Nepal,Post-retraining,14,2946,133,52977,-0.5,0.339285714,neg
Nepal,Post-retraining,15,2203,131,49023,0.2,0.319512195,pos
Nepal,Post-retraining,16,1810,81,50977,0.3,0.169456067,pos
Nepal,Post-retraining,17,3733,142,47893,0.3,0.38172043,pos
Nepal,Post-retraining,18,3985,90,52346,0,0.176125245,pos
Nepal,Post-retraining,19,3424,67,55421,-0.3,0.195335277,neg
Nepal,Post-retraining,20,2461,62,53051,0.2,0.222222222,pos
Nepal,Post-retraining,21,1651,112,42018,1.7,0.294736842,pos
Nepal,Post-retraining,22,1429,100,51523,0.1,0.276243094,pos
Nepal,Post-retraining,23,1991,170,47913,0,0.313075506,pos
Nepal,Post-retraining,24,3801,149,44077,0.9,0.462732919,pos
Nepal,Post-retraining,25,1993,114,48320,0.5,0.308943089,pos
